date,Massachusetts,bronchitis,cold,symptoms of the flu,flu symptoms,rsv,sinus,pneumonia,stomach flu,the flu symptoms,flu how long,how long flu,the flu,strep,strep throat,contagious flu,flu contagious,symptoms of flu,fever flu,flu fever,how long does flu last
2013-11-23,0.808617,353.0798630906022,7777.820163564804,0.0,316.34990860135383,186.5613940874876,1097.393334084254,928.5760038880665,0.0,94.00813978999558,0.0,0.0,401.1348892189173,1069.4810796964864,690.6714603361536,0.0,0.0,0.0,0.0,0.0,0.0
2013-11-30,1.04882,419.7424998786417,9164.595429873676,0.0,291.4940189775251,0.0,862.9708410822095,1070.3389489536703,119.49635645549787,96.041395497096,0.0,0.0,345.86438905628864,708.5969483384637,514.0630313507743,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-07,0.840584,535.9423917770645,8294.25439555511,0.0,422.199284548636,296.47252828248406,1164.4083688744286,875.2651113820058,203.52050380007785,0.0,0.0,0.0,444.63599117580566,1044.3104387179544,768.627676994383,0.0,0.0,114.71696189693478,0.0,0.0,0.0
2013-12-14,1.24387,454.3567690332192,9662.938561546269,0.0,264.4159047673173,279.7555635578991,1043.2391266828402,918.8627412245252,254.5176773541125,0.0,105.54767737525962,105.5476773752596,341.0555151674313,894.243850944824,735.8827208400477,0.0,0.0,0.0,0.0,0.0,0.0
2013-12-21,1.3106,484.2271556526934,9161.230776721864,0.0,386.2888634932372,318.3774500315375,1092.7444842548657,922.3113281098632,324.62330205428174,0.0,141.48063802368392,141.4806380236839,371.438400979755,976.0793282784724,651.3041158964774,0.0,0.0,132.5676407073656,0.0,0.0,0.0
2013-12-28,1.87773,504.377750672294,8014.395600990182,0.0,409.3508447106957,471.9503435529589,971.4360216423526,1191.9714176497896,354.10012562710267,135.61290150391446,201.484396419082,201.484396419082,635.6485568299855,1078.767829110044,819.3925911147176,0.0,237.38484645505625,0.0,0.0,0.0,0.0
2014-01-04,1.93805,681.7803393535564,12081.940027465138,0.0,1038.5353926027326,410.0669879878077,1381.2088936596012,1349.3820857090516,438.1126174510716,117.94330605966576,235.19638271856732,235.19638271856732,953.5129006833504,979.4838262464292,605.0764819928932,112.41677391149146,108.8593364360402,226.34129508582785,128.8862327000493,128.8862327000493,116.03288306403746
2014-01-11,1.33203,717.3043918624649,12523.773413433151,96.77312628117576,911.0345224730996,361.28275933711126,1208.8173928014871,1406.993323922653,283.7697582614987,139.08249416368793,231.51381366610275,231.5138136661028,1158.6451467071936,760.5280423456544,530.1874680059263,174.53453987554113,0.0,209.36425531106545,100.36426591438432,100.36426591438432,103.71054391515008
2014-01-18,1.82443,479.0405790871213,7861.661957933955,115.1713189690959,898.9815938606829,354.4050948521276,1387.6279497193998,1277.693023933238,465.7220881143567,133.99073252832514,187.68576447405115,187.68576447405115,852.2668544949479,844.1421654680979,520.6035132147675,104.37453913299112,0.0,257.8320873193841,0.0,0.0,0.0
2014-01-25,1.74202,598.5448475950524,10315.451263889025,130.24900978861825,1041.1111312656392,521.4477028844261,1490.337302789293,1134.8790669029363,437.7162243519251,175.11504970153212,190.83798722954256,190.83798722954256,819.2247398816091,918.8024060014568,544.8746454321832,0.0,0.0,209.60765760514056,94.30393675026605,94.30393675026605,125.00331522941778
2014-02-01,1.58231,478.7680511504221,9206.32126496359,0.0,841.1269311969781,376.5454918358504,1188.7305218837623,1069.9299257242506,412.3972650592327,120.04555436934596,288.6532869893408,288.6532869893407,833.8542828920888,1077.129503954401,695.5212052560896,0.0,84.82197596709534,189.77676449184744,0.0,0.0,0.0
2014-02-08,1.99802,545.5529693074284,7736.968173665453,0.0,473.9161529791395,412.5608746959981,1421.913966861531,1203.8648005663606,378.8574713483006,120.88245661062798,155.01738802954557,155.01738802954557,649.7983160431181,1066.4749322544412,799.6658139294088,0.0,0.0,0.0,0.0,0.0,0.0
2014-02-15,1.65155,576.0646034250918,8014.667713631116,0.0,516.4475434799241,286.45513189923986,1446.6950025259794,1039.4870902254356,220.36932340428592,132.2838290807808,141.88009552852327,141.88009552852324,538.4502645290005,1089.6860298198185,754.3119570612852,0.0,0.0,96.14865242339712,0.0,0.0,193.51057974469853
2014-02-22,1.45711,628.2687993838643,7515.112585299264,0.0,659.5703192771086,188.1661314356374,1432.247380227521,1155.6567779150705,315.06711706589704,0.0,110.60181323023608,110.60181323023606,475.8897734857424,1047.3270743680298,719.6678635159282,0.0,92.06036462848036,173.05171367960767,0.0,0.0,103.03157589615668
2014-03-01,1.2469,465.65929354910304,8507.34090481203,0.0,408.66527246225183,207.67835706943265,1596.851109231163,1168.868433932431,334.6171367346173,0.0,0.0,0.0,566.4084968710289,1072.4405301612258,547.5680278252632,86.49293163257633,0.0,0.0,0.0,0.0,0.0
2014-03-08,1.3024,559.2636317327567,8210.229349016528,122.7141004839314,378.27769626899743,240.52785864751883,1308.4994148666187,1231.0984934205192,243.9321063284791,0.0,142.2948096161324,142.29480961613243,469.4900622760897,1180.8161713456495,712.0753422889974,0.0,88.33791729274671,0.0,0.0,0.0,0.0
2014-03-15,1.27717,554.0273311626675,7363.774909711916,0.0,363.3617745186153,180.2175944850186,1296.0869015669552,961.7043989919996,364.453812713588,0.0,88.2047489596928,88.20474895969282,464.92232122227085,1266.6273596909327,853.2012328103269,0.0,0.0,93.06231972169188,0.0,0.0,0.0
2014-03-22,1.50866,399.6805226333915,8012.64097241287,0.0,359.5768251494473,268.5666480929024,1204.0714060013938,1024.5343216032086,223.98080233621005,128.34139508025345,0.0,0.0,397.3099966825529,1046.6260791630723,708.8464850544522,0.0,0.0,85.97971335116347,0.0,0.0,0.0
