date,Oklahoma,the flu,flu symptoms,rsv,pneumonia,how long flu,the flu symptoms,flu a,symptoms of flu,flu how long,strep,stomach flu,contagious flu,sinus,flu contagious,strep throat,bronchitis,fever flu,how long contagious,type a flu,flu type a
2012-04-07,1.98482,0.0,0.0,0.0,867.7501693919133,0.0,0.0,0.0,0.0,0.0,1438.7813269500612,0.0,0.0,953.0092430542728,0.0,1537.9788001647555,603.7963158824725,0.0,0.0,0.0,0.0
2012-04-14,1.07081,0.0,560.1196675926893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.8786545010023,0.0,0.0,1597.5582804544786,0.0,756.7305393216421,0.0,0.0,0.0,0.0,0.0
2012-04-21,1.72618,565.4563373337585,0.0,0.0,928.5691223304256,0.0,0.0,0.0,0.0,0.0,1281.008402532664,0.0,0.0,1341.497021784555,0.0,934.6768387247396,661.5580867573186,0.0,0.0,0.0,0.0
2012-04-28,2.0202,0.0,0.0,0.0,503.2287071617283,841.5243763270311,0.0,0.0,543.6256737193454,0.0,1121.4298290462284,0.0,0.0,1299.2192988709976,0.0,526.7819017759058,692.5064299473896,0.0,0.0,0.0,0.0
2012-05-05,1.32064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.7562609099176,0.0,0.0,520.492476664125,0.0,808.6732572302275,747.6656456309051,471.7547790348415,0.0,0.0,0.0
2012-05-12,1.64096,0.0,0.0,0.0,758.9765934306713,0.0,0.0,0.0,0.0,0.0,1543.7166446301107,0.0,0.0,1113.298891640702,0.0,971.1190680928006,540.2782605006163,0.0,0.0,0.0,0.0
2012-05-19,0.443262,0.0,0.0,0.0,731.2915860725623,0.0,0.0,0.0,0.0,0.0,841.0598729598028,477.68995280892176,0.0,969.0213808461788,0.0,760.7556072581632,668.9823165275911,0.0,0.0,0.0,0.0
2012-05-26,1.50404,0.0,0.0,0.0,853.8348099721435,0.0,0.0,0.0,0.0,587.9863145601902,950.2107655635278,0.0,0.0,1156.5573000584995,0.0,912.3508221477292,478.7622033961438,0.0,0.0,0.0,0.0
2012-06-02,0.356189,0.0,0.0,0.0,901.2296753774006,0.0,0.0,0.0,0.0,0.0,1285.6551228868852,0.0,0.0,722.9722319616753,0.0,671.55074197547,0.0,0.0,0.0,0.0,0.0
2012-06-09,1.11607,0.0,0.0,0.0,518.4857421984334,0.0,0.0,0.0,0.0,0.0,895.0460739719438,0.0,0.0,791.7745849342459,0.0,1095.8227747698793,478.33801902013136,0.0,0.0,0.0,0.0
2012-06-16,0.195122,0.0,0.0,0.0,1317.3373031899553,489.97575638072647,0.0,0.0,0.0,0.0,577.6318869094976,0.0,0.0,991.5575979042716,0.0,0.0,483.1656208573998,0.0,0.0,0.0,0.0
2012-06-23,1.45081,0.0,0.0,0.0,911.7097322616396,0.0,0.0,0.0,0.0,0.0,827.6833203625087,0.0,0.0,803.3365641424172,0.0,884.9667275751116,960.4832752279428,0.0,0.0,0.0,0.0
2012-06-30,0.801974,0.0,0.0,0.0,736.0005775481944,0.0,0.0,0.0,0.0,0.0,862.7573375577638,0.0,0.0,866.9323971975247,0.0,515.8303727116619,0.0,0.0,0.0,0.0,0.0
2012-07-07,0.834671,0.0,0.0,0.0,527.0168306141036,0.0,0.0,0.0,0.0,0.0,577.0186674909056,0.0,0.0,807.9495021203288,0.0,0.0,711.4182547051752,0.0,0.0,592.2239030896527,592.2239030896527
2012-07-14,0.902201,0.0,0.0,0.0,932.7574989992722,0.0,0.0,0.0,0.0,0.0,958.929309355213,0.0,0.0,790.9130532529072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-21,0.0,0.0,526.5035726922197,590.6469419310096,1186.4233075713792,0.0,0.0,0.0,0.0,0.0,859.3692389033038,0.0,0.0,717.6257140911086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-28,0.315209,0.0,0.0,0.0,722.9238567609747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1085.6954115191122,0.0,504.25690564808286,0.0,0.0,0.0,0.0,0.0
2012-08-04,0.407095,0.0,0.0,0.0,808.0097325800135,471.197942225642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.0027774945823,0.0,731.3909640214533,0.0,468.2701918758653,0.0,0.0,0.0
2012-08-11,0.0,0.0,0.0,0.0,626.3073631568651,0.0,0.0,0.0,0.0,0.0,1236.3752761704998,0.0,0.0,835.0280096601075,0.0,553.5045224192024,0.0,0.0,0.0,0.0,0.0
2012-08-18,0.0329056,0.0,0.0,0.0,756.2435056590888,0.0,0.0,0.0,0.0,0.0,493.2479872127536,0.0,490.5726221413414,834.5550856041808,0.0,0.0,675.7903448019368,0.0,0.0,0.0,0.0
2012-08-25,1.32582,0.0,0.0,0.0,893.3858963142246,0.0,0.0,0.0,0.0,0.0,892.8965820781945,0.0,0.0,899.05384271332,0.0,475.3455130603952,549.6666330948425,0.0,0.0,0.0,0.0
2012-09-01,1.33156,0.0,0.0,0.0,1094.0014870420264,0.0,0.0,0.0,0.0,0.0,1101.2052228576665,0.0,0.0,977.8285652558334,0.0,631.5593289399651,0.0,0.0,0.0,0.0,0.0
2012-09-08,1.95429,0.0,0.0,0.0,1182.6704386578604,0.0,0.0,0.0,0.0,0.0,688.9133163285819,0.0,0.0,1419.2552080850005,0.0,643.0813124113893,0.0,0.0,0.0,0.0,0.0
2012-09-15,1.35613,527.1359032672615,476.7439473893164,0.0,1173.8032083115395,0.0,0.0,0.0,0.0,0.0,1357.5718835295456,0.0,0.0,1667.711824896448,0.0,912.7426576622288,560.2290478873941,0.0,0.0,0.0,0.0
2012-09-22,0.667976,0.0,511.6011711560157,0.0,581.6236469594731,0.0,0.0,399.59664528265256,0.0,0.0,855.8767770893779,0.0,0.0,1035.0689928886502,0.0,767.5244190622104,479.0331316148519,0.0,0.0,0.0,0.0
2012-09-29,1.88631,911.7489925902382,0.0,0.0,1581.262080977509,0.0,0.0,0.0,0.0,0.0,958.2801565078644,0.0,0.0,1304.1057412735674,0.0,822.691374143904,739.3071759894356,0.0,0.0,0.0,0.0
2012-10-06,1.79942,712.0398907732055,0.0,0.0,1417.8670244526866,0.0,0.0,534.9444235386725,0.0,0.0,662.1335707782214,0.0,0.0,739.2122576189465,0.0,751.9070584662848,678.0171811706534,0.0,0.0,0.0,0.0
2012-10-13,2.38773,939.1257549029835,460.3449460637317,0.0,873.6365262487624,0.0,0.0,455.9732661519519,0.0,0.0,1189.0383837043955,0.0,0.0,1033.104910900563,0.0,793.8399170135272,737.8920769735845,0.0,0.0,0.0,0.0
2012-10-20,1.23648,719.6105115346523,0.0,0.0,893.6999938983969,0.0,0.0,440.855441808095,0.0,0.0,689.612801917134,0.0,496.8424009582789,1098.5282859103168,0.0,830.1392851053752,682.1923699470011,0.0,0.0,0.0,0.0
2012-10-27,1.80451,0.0,0.0,0.0,1108.7083231091406,0.0,0.0,417.51430233378335,0.0,0.0,761.3661364025269,0.0,0.0,1049.1309646919478,0.0,546.3242792071762,727.8152540982254,0.0,0.0,0.0,0.0
2012-11-03,1.68478,0.0,516.5126673836597,0.0,924.6495609200052,0.0,0.0,461.9419125099001,0.0,0.0,993.4182910766498,0.0,0.0,1096.5897696713605,0.0,864.2877398803316,0.0,0.0,0.0,0.0,0.0
2012-11-10,1.76421,744.9251333606456,0.0,0.0,1213.495644261762,0.0,0.0,0.0,0.0,0.0,1312.8953123691845,0.0,0.0,1184.020404793515,0.0,788.0355797484673,759.7820014118995,0.0,0.0,0.0,0.0
2012-11-17,1.68627,717.8760453200417,0.0,0.0,1198.6296194662673,0.0,0.0,0.0,0.0,0.0,957.4599378882044,0.0,0.0,1023.9735055565208,0.0,834.090526564627,1140.260921442877,0.0,0.0,0.0,0.0
2012-11-24,1.95848,0.0,0.0,596.1268401034872,983.750347973564,0.0,0.0,0.0,0.0,0.0,1059.3677451725628,0.0,0.0,1238.9372517808274,0.0,760.0824964473172,452.66730567321895,0.0,0.0,0.0,0.0
2012-12-01,2.77162,0.0,676.8634319543057,543.6421040876056,1362.3581480699957,0.0,0.0,0.0,0.0,0.0,1205.941235401778,374.768976742923,0.0,1147.3893635780164,0.0,1174.1849426011652,719.1570504634793,0.0,592.2199934051679,0.0,0.0
2012-12-08,3.04892,874.4930780265962,888.2992616616584,904.818187178485,1473.9058290123332,0.0,0.0,318.4924050328773,0.0,0.0,1143.9345083237174,0.0,0.0,1168.8411687549346,0.0,948.3460883899226,693.0267089012428,0.0,0.0,0.0,0.0
2012-12-15,4.37184,580.4920735552286,755.3742137186458,1418.1071045571143,1356.2463802651384,0.0,0.0,733.8344838597432,0.0,0.0,1045.8824205229691,392.4924907743101,0.0,1566.1644989082622,0.0,780.7829291708769,550.2948458772414,418.6580545071748,0.0,0.0,0.0
