date,Minnesota,influenza a,a influenza,pneumonia,influenza b,stomach flu,influenza symptoms,rsv,flu symptoms,the flu,how long contagious,symptoms of flu,the flu symptoms,influenza contagious,flu how long,how long flu,strep,sinus,strep throat,influenza a symptoms,symptoms of influenza
2013-01-05,5.54971,1141.7417036934828,1141.7417036934828,2191.4739701165954,511.3749757194513,927.5173774694528,920.9425439124626,651.3219638912655,1909.4842814120543,1956.71383669937,366.45415590064016,369.0432793574008,265.8840647435329,0.0,395.274794432092,395.274794432092,1289.4846199891583,2502.406951510122,884.0265020868902,345.83812789146737,239.36819482726324
2013-01-12,4.0914,1630.399467515324,1630.3994675153242,1734.100402777906,545.2500995423933,790.784090014811,1445.921927217307,537.8234495586878,4089.831974654046,4859.552656252384,342.45785526172847,926.7471395083144,704.8530261396646,0.0,879.7594641776972,879.7594641776973,1209.2090512150842,1867.1415124302127,895.7485855911607,326.4361665778394,675.6645623921004
2013-01-19,3.07692,1006.8252898210126,1006.8252898210123,1756.2119149982225,387.9797932059683,730.3570708616861,910.1585227627946,835.1877585417144,2915.3696311408225,3601.806333909797,441.3412845661823,725.698176024944,514.2147364350651,157.0302984757904,664.524372449889,664.5243724498893,1116.7713460906384,1981.5538192201204,706.3062770806551,0.0,388.8153660369168
2013-01-26,2.86423,358.3718996956913,358.3718996956913,1617.5857515966966,229.4378837632997,868.3664548543825,484.5641236759653,787.2728092607949,1911.2549674831653,2008.379109366393,265.9925281324786,442.8147006857445,289.70849009985307,182.87359670058208,403.8128735666572,403.8128735666571,1404.769309868441,1452.6332190275452,791.8553933331448,0.0,0.0
2013-02-02,2.67437,429.0207753144148,429.0207753144148,1385.0161303605407,204.35398935566295,730.4199047528491,488.145427799874,740.5446107335326,1021.8002574843276,1106.1781847759305,300.4710061055573,245.48416030573367,208.7319115179816,244.38671071042685,175.63546330710395,175.63546330710395,1526.045632791151,1553.690650645466,1040.9448573162383,0.0,224.193710349421
2013-02-09,3.01697,315.8381424269665,315.8381424269665,1526.058126813799,335.0309340741857,526.9698430057372,348.15801804659645,837.9759031056482,835.9807423942134,949.2114716812129,0.0,190.36239500837505,164.2005294219153,0.0,200.06595556198064,200.06595556198064,1500.0562263957313,1305.0003287723457,1193.3571869236348,0.0,0.0
2013-02-16,2.63502,255.522781515988,255.522781515988,1154.6649845402037,155.0136981404401,339.7583872993596,287.459823695425,875.5521887970125,583.6094639539352,642.1609817390888,154.22804260189343,0.0,306.13651733020976,0.0,0.0,0.0,1463.514481271594,1720.694968284699,957.3560493238562,179.79925084309372,210.53819844197648
2013-02-23,1.77297,173.62411221666582,173.62411221666582,1110.755771599186,0.0,463.1505815234592,205.45024358536205,724.033982063685,771.4259770354697,683.0497137081496,140.9256907749898,186.18654020716136,0.0,0.0,200.11491321477897,200.11491321477897,1324.4006984213215,1375.0689512735485,908.2273854001612,186.01778051411483,0.0
2013-03-02,1.64868,163.21490624366254,163.21490624366257,1074.767431970811,0.0,533.9618009782972,0.0,743.3013080235273,456.1945656513461,817.3149948078359,0.0,153.614119571567,0.0,0.0,192.85812714655307,192.85812714655307,1390.201271850496,1597.465090465751,1154.4972096081324,0.0,0.0
2013-03-09,1.71015,0.0,0.0,1201.7275480037126,0.0,593.3650563376472,189.454403210632,668.1817701414149,456.1535062995241,807.1613150539191,230.88214280599937,0.0,0.0,0.0,149.21954441102088,149.21954441102085,1256.0882507017127,1700.9690341778971,657.0741709751545,0.0,0.0
2013-03-16,2.04417,202.2368790577117,202.2368790577117,1289.4020628604333,0.0,466.2209951915824,0.0,615.4290414802281,432.8373580339298,646.0756570915379,205.77357293771053,124.86646546451688,0.0,0.0,152.21249181800496,152.21249181800496,1688.2242953119803,1285.7943667370132,968.858037167497,0.0,0.0
2013-03-23,1.06414,0.0,0.0,1166.131014674598,0.0,462.4026158932651,146.40567196136578,375.39944742856943,441.7989294052167,401.7152485171296,162.34061416329362,0.0,164.63271444241587,0.0,142.52562067577097,142.52562067577094,1317.108982618227,1094.744298129037,995.8928171001633,0.0,0.0
2013-03-30,1.07527,0.0,0.0,1216.251294311185,0.0,300.72710912654094,0.0,348.5055439176982,414.3929357128449,558.9260713073742,232.83388968392856,299.814773756794,0.0,0.0,193.3256428349559,193.32564283495591,1416.8343658086571,1523.9476688437876,899.91847334054,0.0,0.0
2013-04-06,0.707808,0.0,0.0,1128.750120985778,138.74787750359565,414.2569194459799,0.0,353.9874954318459,488.55896986040494,537.2392734610728,0.0,0.0,0.0,0.0,0.0,0.0,1091.7543350516476,1196.003452933987,730.3703333699605,0.0,0.0
